metric,value,min,max,s1,s2,s3,s4,s5,s6,s7,s8
coherentBuildsBeatNone_orc_violence,57.5260,58.0000,,56.0417,54.1667,58.7500,55.0000,58.3333,59.7917,57.0833,61.0417
coherentBuildsBeatNone_elf_tiki_taka,67.1354,58.0000,,67.2917,68.1250,65.2083,65.2083,64.5833,71.4583,66.0417,69.1667
coherentBuildsBeatNone_human_wall,89.1667,58.0000,,89.7917,89.5833,89.3750,89.3750,87.9167,90.6250,88.5417,88.1250
coherentBuildsBeatNone_human_counter,78.5677,58.0000,,79.1667,77.2917,77.7083,80.2083,78.1250,75.4167,81.4583,79.1667
coherentBuildsBeatNone_orc_mob,59.0104,58.0000,,55.2083,59.1667,62.5000,62.7083,58.7500,59.1667,59.7917,54.7917
coherentBuildsBeatNone_dwarf_fortress,74.7135,58.0000,,73.3333,73.5417,75.8333,73.7500,74.5833,77.5000,75.4167,73.7500
coherentBuildsBeatNone_orc_giants,62.9427,58.0000,,63.9583,61.2500,62.9167,63.1250,64.7917,63.5417,60.2083,63.7500
coherentBuildsBeatNone_elf_bulwark,77.9167,58.0000,,77.7083,76.6667,78.3333,78.7500,73.5417,78.5417,80.8333,78.9583
coherentBuildsBeatNone_undead_grind,72.2396,58.0000,,73.5417,72.7083,71.4583,72.7083,71.2500,70.8333,72.5000,72.9167
badBuildsLoseToNone_orc_misplaced,45.3125,10.0000,45.0000,44.1667,43.7500,43.1250,47.9167,42.9167,47.2917,45.0000,48.3333
badBuildsLoseToNone_elf_brawler,45.6771,10.0000,45.0000,45.0000,46.8750,46.0417,42.0833,49.5833,44.1667,44.5833,47.0833
badBuildsLoseToNone_human_scattered,32.1354,10.0000,45.0000,33.3333,37.0833,31.2500,28.5417,34.7917,31.6667,31.4583,28.9583
badBuildsLoseToNone_elf_out_of_zone,45.8594,10.0000,45.0000,47.5000,45.2083,44.1667,44.7917,43.3333,48.3333,42.7083,50.8333
randomBuildLosesToNone_human_random,48.4635,45.0000,55.0000,46.6667,48.9583,47.0833,49.3750,47.7083,50.2083,45.2083,52.5000
buildsWinDifferently_injuries,1.4047,1.1000,,1.5065,0.7958,1.3650,1.2619,2.1224,1.6395,1.4497,1.0971
buildsWinDifferently_passChain,1.1756,1.1100,,1.2027,1.1374,1.1821,1.1542,1.1947,1.1765,1.1548,1.2028
activationRate_back_to_back_human_counter,10.9896,1.0000,,10.0000,19.5833,9.5833,5.4167,10.4167,14.7917,10.6250,7.5000
activationRate_back_to_back_human_random,11.5885,1.0000,,10.2083,16.2500,12.9167,8.3333,9.7917,13.7500,10.6250,10.8333
activationRate_back_to_back_human_scattered,22.5521,1.0000,,18.5417,35.0000,22.7083,21.0417,31.0417,15.0000,17.9167,19.1667
activationRate_battle_reader_orc_giants,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_box_predator_dwarf_fortress,64.3490,1.0000,,66.4583,61.0417,66.4583,66.8750,64.1667,62.5000,64.3750,62.9167
activationRate_box_predator_elf_bulwark,77.5000,1.0000,,77.0833,80.4167,75.8333,77.5000,77.9167,76.2500,79.3750,75.6250
activationRate_box_predator_elf_tiki_taka,74.4792,1.0000,,76.2500,74.5833,75.2083,74.1667,74.3750,77.9167,72.9167,70.4167
activationRate_box_predator_human_counter,78.9323,1.0000,,78.1250,79.1667,76.8750,76.4583,83.3333,78.1250,79.5833,79.7917
activationRate_box_predator_human_random,65.2865,1.0000,,60.8333,65.0000,63.9583,66.8750,61.6667,66.0417,69.3750,68.5417
activationRate_box_predator_human_scattered,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_box_predator_human_wall,82.6823,1.0000,,82.7083,81.8750,81.6667,82.5000,82.2917,83.5417,83.5417,83.3333
activationRate_box_predator_orc_giants,67.6042,1.0000,,67.2917,65.8333,64.3750,70.8333,71.2500,69.1667,66.2500,65.8333
activationRate_box_predator_orc_mob,66.6406,1.0000,,68.7500,67.2917,68.5417,68.1250,62.5000,67.0833,66.2500,64.5833
activationRate_box_predator_orc_violence,65.3906,1.0000,,62.7083,63.5417,69.1667,61.8750,65.0000,68.5417,66.2500,66.0417
activationRate_box_predator_undead_grind,77.9167,1.0000,,76.2500,76.8750,80.0000,80.0000,78.5417,75.4167,78.1250,78.1250
activationRate_bruised_knuckles_elf_brawler,3.3073,1.0000,,1.8750,1.4583,3.1250,3.3333,7.5000,3.3333,2.9167,2.9167
activationRate_bruised_knuckles_orc_violence,89.2188,1.0000,,88.3333,93.3333,90.6250,85.6250,88.9583,86.2500,89.1667,91.4583
activationRate_brute_boots_elf_brawler,48.1250,1.0000,,40.0000,42.5000,47.5000,52.5000,62.5000,47.5000,50.0000,42.5000
activationRate_brute_boots_human_scattered,19.6875,1.0000,,22.5000,12.5000,20.0000,22.5000,20.0000,22.5000,15.0000,22.5000
activationRate_brute_boots_orc_giants,97.8125,1.0000,,97.5000,100.0000,97.5000,95.0000,97.5000,97.5000,97.5000,100.0000
activationRate_brute_boots_orc_mob,92.8125,1.0000,,97.5000,95.0000,92.5000,82.5000,87.5000,97.5000,97.5000,92.5000
activationRate_brute_boots_orc_violence,97.5000,1.0000,,97.5000,97.5000,92.5000,92.5000,100.0000,100.0000,100.0000,100.0000
activationRate_bulwark_stance_dwarf_fortress,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_bulwark_stance_elf_brawler,48.4375,1.0000,,45.0000,37.5000,45.0000,57.5000,42.5000,42.5000,52.5000,65.0000
activationRate_center_conductor_dwarf_fortress,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_center_conductor_elf_bulwark,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_center_conductor_human_counter,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_center_conductor_human_wall,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_center_conductor_orc_giants,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_center_conductor_orc_misplaced,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_center_conductor_orc_mob,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_center_conductor_orc_violence,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_center_conductor_undead_grind,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_clean_sheet_legacy_dwarf_fortress,49.1927,1.0000,,47.5000,45.2083,52.9167,53.3333,48.3333,50.0000,48.7500,47.5000
activationRate_cold_focus_human_scattered,0.1823,1.0000,,0.0000,0.8333,0.0000,0.0000,0.2083,0.2083,0.2083,0.0000
activationRate_cold_focus_undead_grind,60.7292,1.0000,,72.9167,50.6250,60.2083,64.1667,59.3750,63.9583,65.2083,49.3750
activationRate_comeback_spirit_human_random,39.1667,1.0000,,37.7083,36.4583,40.6250,38.1250,40.6250,40.2083,41.4583,38.1250
activationRate_comeback_spirit_human_scattered,47.0312,1.0000,,44.5833,43.9583,48.5417,48.7500,42.9167,47.0833,49.3750,51.0417
activationRate_covering_shadow_dwarf_fortress,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_covering_shadow_elf_bulwark,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_covering_shadow_elf_tiki_taka,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_covering_shadow_human_counter,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_covering_shadow_human_wall,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_covering_shadow_undead_grind,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_crowd_control_elf_tiki_taka,17.4219,1.0000,,17.7083,19.1667,17.7083,15.2083,17.5000,15.0000,16.4583,20.6250
activationRate_deathless_march_undead_grind,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_diagonal_press_orc_giants,80.1823,1.0000,,81.8750,78.9583,77.5000,78.3333,74.5833,81.4583,78.5417,90.2083
activationRate_duelist_elf_bulwark,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_fine_touch_elf_tiki_taka,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_fine_touch_orc_misplaced,37.8125,1.0000,,25.0000,37.5000,37.5000,40.0000,50.0000,40.0000,35.0000,37.5000
activationRate_first_touch_school_elf_tiki_taka,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_flank_specialist_elf_out_of_zone,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_flank_specialist_human_random,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_flank_specialist_human_scattered,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_flank_specialist_orc_misplaced,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_forward_line_dwarf_fortress,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_forward_line_elf_bulwark,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_forward_line_elf_out_of_zone,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_forward_line_elf_tiki_taka,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
