metric,value,min,max,s1,s2,s3,s4,s5,s6,s7,s8
coherentBuildsBeatNone_orc_violence,57.2396,58.0000,,55.8333,53.1250,55.4167,56.8750,57.0833,61.4583,58.7500,59.3750
coherentBuildsBeatNone_elf_tiki_taka,66.4062,58.0000,,63.5417,69.1667,67.7083,65.4167,61.8750,71.4583,64.5833,67.5000
coherentBuildsBeatNone_human_wall,88.0208,58.0000,,87.0833,86.4583,86.8750,90.6250,88.5417,90.8333,87.2917,86.4583
coherentBuildsBeatNone_human_counter,78.1771,58.0000,,81.2500,80.0000,79.3750,77.7083,78.3333,77.0833,77.5000,74.1667
coherentBuildsBeatNone_orc_mob,59.6875,58.0000,,57.2917,57.9167,62.5000,65.2083,57.9167,60.8333,57.0833,58.7500
coherentBuildsBeatNone_dwarf_fortress,72.9688,58.0000,,72.2917,69.5833,75.6250,75.6250,70.8333,75.0000,74.7917,70.0000
coherentBuildsBeatNone_orc_giants,62.8385,58.0000,,61.6667,65.0000,57.9167,66.2500,64.5833,62.2917,60.4167,64.5833
coherentBuildsBeatNone_elf_bulwark,77.1094,58.0000,,74.3750,78.3333,74.5833,75.8333,75.6250,78.9583,78.1250,81.0417
coherentBuildsBeatNone_undead_grind,71.2500,58.0000,,73.9583,72.7083,70.0000,69.1667,69.7917,70.8333,70.8333,72.7083
badBuildsLoseToNone_orc_misplaced,44.8958,10.0000,45.0000,44.3750,43.7500,40.2083,44.1667,46.6667,47.5000,40.8333,51.6667
badBuildsLoseToNone_elf_brawler,44.3750,10.0000,45.0000,42.9167,47.9167,42.7083,39.5833,46.8750,42.0833,47.0833,45.8333
badBuildsLoseToNone_human_scattered,29.8958,10.0000,45.0000,29.1667,31.0417,28.3333,30.4167,30.8333,31.6667,26.8750,30.8333
badBuildsLoseToNone_elf_out_of_zone,45.4167,10.0000,45.0000,45.2083,45.2083,44.1667,44.7917,43.7500,46.4583,44.3750,49.3750
randomBuildLosesToNone_human_random,46.5625,45.0000,55.0000,42.9167,47.7083,46.8750,45.4167,48.1250,47.5000,44.7917,49.1667
buildsWinDifferently_injuries,1.4456,1.1000,,1.2213,1.0557,1.3463,1.7512,1.6409,1.6393,1.3863,1.5238
buildsWinDifferently_passChain,1.1769,1.1100,,1.1957,1.1422,1.2045,1.1839,1.1427,1.1885,1.1735,1.1840
activationRate_back_to_back_human_counter,11.0938,1.0000,,10.2083,20.0000,8.9583,6.0417,10.2083,16.2500,9.7917,7.2917
activationRate_back_to_back_human_random,11.1458,1.0000,,9.7917,15.6250,12.2917,6.4583,9.5833,15.0000,10.0000,10.4167
